"","Date","TDa","Volatility","Volume","Roll"
"278",2013-02-21,-0.114667202042389,2.21923,47314,0
"279",2013-02-22,0.167970135108856,1.56029,11006,0
"280",2013-02-25,-0.142760328519386,1.78791,18689,0
"281",2013-02-26,0.083555993807911,1.0679,7800,0
"282",2013-02-27,-0.326249676479407,1.63449,3350,0
"283",2013-02-28,0.629520659309387,1.216,22384,0
"284",2013-03-01,-0.384235086249666,2.32504,9533,0
"285",2013-03-04,0.392005275255971,2.60913,19404,0
"286",2013-03-05,-0.334148487294634,1.00318,13571,0
"287",2013-03-06,0.017123592881914,2.62384,33002,0
"288",2013-03-07,-0.315613497551154,0.97297,13025,0
"289",2013-03-08,0.0216894214656544,2.16333,16146,0
"290",2013-03-11,0.810263823730421,1.92254,18754,0
"291",2013-03-12,-0.477514610536846,1.61176,37740,0
"292",2013-03-13,-0.12792586638819,1.11702,11540,0
"293",2013-03-14,0.445017586638032,1.80748,19397,1
"294",2013-03-15,-0.464587437247218,1.30469,6698,0
"295",2013-03-18,0.240957976397384,2.15677,10023,0
"296",2013-03-19,-0.448915392819807,1.49215,5697,0
"297",2013-03-20,-0.245979659089991,2.47678,23144,0
"298",2013-03-21,0.556085554311694,1.21118,11903,0
"299",2013-03-22,-0.864383593434987,3.3125,18078,0
"300",2013-03-25,0.0468004442660114,1.87305,4200,0
"301",2013-03-26,0.617905100847397,0.51499,7283,0
"302",2013-03-27,-0.398594541955005,1.02882,11304,0
"303",2013-03-28,0.504848404276601,6.35958,42961,0
"304",2013-04-01,0.387291859078666,4.13177,42239,0
"305",2013-04-02,-0.27578264504648,1.49072,16905,0
"306",2013-04-03,-0.382489482251561,2.30843,21320,0
"307",2013-04-04,0.184021636983927,1.10119,5794,0
"308",2013-04-05,0.291212906622058,1.40373,4300,0
"309",2013-04-08,-0.642945884603423,2.42488,21632,0
"310",2013-04-09,0.412566171629382,1.05541,10442,0
"311",2013-04-10,0.346629778658801,2.77186,12448,0
"312",2013-04-11,0.11004803884232,1.8143,5134,0
"313",2013-04-12,-1.24114115350351,6.45161,16526,0
"314",2013-04-15,-0.0504672590967101,3.69867,12582,0
"315",2013-04-16,0.861137745268241,1.06667,4337,0
"316",2013-04-17,-0.745200033775968,0.91295,1322,0
"317",2013-04-18,1.24546173250256,1.82097,1775,0
"318",2013-04-19,-0.0435619985676717,2.64061,4325,0
"319",2013-04-22,-0.53878245211896,3.65199,17100,0
"320",2013-04-23,0.220059560971231,1.40769,1786,0
"321",2013-04-24,-0.301459915728261,1.19528,5695,0
"322",2013-04-25,-0.412108522483975,2.47791,3457,0
