" Date","SPY Open","SPY Low","SPY High","SPY Close","SPY Adj. Close","SPY SMA (50D)","SPY SMA (200D)"
08-27-2014,"176.50 ","176.06 ","176.62 ","200.25 ","176.34 ","172.95 ","164.30 "
08-26-2014,"176.41 ","176.36 ","176.84 ","200.33 ","176.41 ","172.84 ","164.19 "
08-25-2014,"176.24 ","175.37 ","176.64 ","200.20 ","176.29 ","172.72 ","164.07 "
08-22-2014,"175.54 ","175.01 ","175.84 ","199.19 ","175.40 ","172.59 ","163.96 "
08-21-2014,"175.32 ","175.17 ","175.91 ","199.50 ","175.68 ","172.48 ","163.84 "
08-20-2014,"174.46 ","174.43 ","175.38 ","198.92 ","175.17 ","172.38 ","163.73 "
08-19-2014,"174.21 ","173.87 ","174.83 ","198.39 ","174.70 ","172.31 ","163.62 "
08-18-2014,"173.30 ","173.20 ","173.87 ","197.36 ","173.79 ","172.24 ","163.51 "
08-15-2014,"173.01 ","171.11 ","173.17 ","195.72 ","172.35 ","172.19 ","163.41 "
08-14-2014,"171.85 ","171.70 ","172.38 ","195.76 ","172.38 ","172.15 ","163.31 "
08-13-2014,"171.09 ","170.80 ","171.77 ","194.84 ","171.57 ","172.09 ","163.22 "
08-12-2014,"170.49 ","169.90 ","170.97 ","193.53 ","170.42 ","172.04 ","163.12 "
08-11-2014,"170.80 ","170.58 ","171.41 ","193.79 ","170.65 ","172.01 ","163.03 "
08-08-2014,"168.60 ","168.15 ","170.28 ","193.24 ","170.16 ","171.97 ","162.93 "
08-07-2014,"169.90 ","167.80 ","170.07 ","191.03 ","168.22 ","171.94 ","162.84 "
08-06-2014,"168.29 ","168.26 ","169.86 ","192.07 ","169.13 ","171.93 ","162.76 "
08-05-2014,"170.04 ","168.46 ","170.48 ","192.01 ","169.08 ","171.91 ","162.67 "
08-04-2014,"169.84 ","169.12 ","171.10 ","193.89 ","170.74 ","171.86 ","162.58 "
08-01-2014,"169.57 ","168.69 ","170.62 ","192.50 ","169.51 ","171.77 ","162.47 "
07-31-2014,"172.25 ","169.93 ","172.40 ","193.09 ","170.03 ","171.70 ","162.36 "
07-30-2014,"174.05 ","172.74 ","174.28 ","196.98 ","173.46 ","171.58 ","162.25 "
07-29-2014,"174.51 ","173.40 ","174.75 ","196.95 ","173.43 ","171.42 ","162.12 "
07-28-2014,"174.14 ","173.14 ","174.44 ","197.80 ","174.18 ","171.25 ","161.99 "
07-25-2014,"174.44 ","173.77 ","174.58 ","197.72 ","174.11 ","171.05 ","161.84 "
07-24-2014,"175.09 ","174.75 ","175.29 ","198.65 ","174.93 ","170.88 ","161.68 "
07-23-2014,"174.79 ","174.44 ","175.10 ","198.64 ","174.92 ","170.71 ","161.54 "
07-22-2014,"174.36 ","174.24 ","174.85 ","198.20 ","174.53 ","170.54 ","161.39 "
07-21-2014,"173.55 ","172.97 ","173.92 ","197.34 ","173.77 ","170.34 ","161.25 "
07-18-2014,"172.90 ","172.81 ","174.28 ","197.71 ","174.10 ","170.16 ","161.11 "
07-17-2014,"173.78 ","172.09 ","174.44 ","195.71 ","172.34 ","169.97 ","160.98 "
07-16-2014,"174.45 ","173.85 ","174.58 ","197.96 ","174.32 ","169.80 ","160.85 "
07-15-2014,"174.11 ","172.91 ","174.44 ","197.23 ","173.68 ","169.61 ","160.71 "
07-14-2014,"174.01 ","173.86 ","174.23 ","197.60 ","174.00 ","169.44 ","160.58 "
07-11-2014,"172.79 ","172.40 ","173.26 ","196.61 ","173.13 ","169.26 ","160.44 "
07-10-2014,"171.91 ","171.77 ","173.35 ","196.34 ","172.89 ","169.09 ","160.31 "
07-09-2014,"173.24 ","172.87 ","173.74 ","197.12 ","173.58 ","168.93 ","160.18 "
07-08-2014,"173.61 ","172.38 ","173.67 ","196.24 ","172.81 ","168.73 ","160.05 "
07-07-2014,"174.20 ","173.67 ","174.34 ","197.51 ","173.92 ","168.54 ","159.94 "
07-03-2014,"174.17 ","174.04 ","174.61 ","198.20 ","174.53 ","168.35 ","159.81 "
07-02-2014,"173.52 ","173.44 ","173.90 ","197.23 ","173.68 ","168.15 ","159.68 "
07-01-2014,"172.76 ","172.71 ","174.03 ","197.03 ","173.50 ","167.97 ","159.55 "
06-30-2014,"172.33 ","172.18 ","172.74 ","195.72 ","172.35 ","167.78 ","159.41 "
06-27-2014,"171.70 ","171.61 ","172.49 ","195.82 ","172.44 ","167.60 ","159.28 "
06-26-2014,"172.25 ","170.95 ","172.27 ","195.44 ","172.10 ","167.41 ","159.15 "
06-25-2014,"171.05 ","171.05 ","172.40 ","195.58 ","172.22 ","167.20 ","159.02 "
06-24-2014,"172.18 ","171.26 ","173.03 ","194.70 ","171.45 ","166.96 ","158.88 "
06-23-2014,"172.57 ","172.17 ","172.64 ","195.88 ","172.49 ","166.71 ","158.74 "
06-20-2014,"172.62 ","172.33 ","172.69 ","195.94 ","172.54 ","166.47 ","158.59 "
06-19-2014,"172.15 ","171.60 ","172.30 ","196.48 ","172.19 ","166.30 ","158.45 "
06-18-2014,"170.75 ","170.37 ","172.10 ","196.25 ","172.00 ","166.10 ","158.29 "
06-17-2014,"170.04 ","169.85 ","170.87 ","194.83 ","170.75 ","165.89 ","158.14 "
06-16-2014,"169.92 ","169.72 ","170.63 ","194.29 ","170.27 ","165.74 ","158.00 "
06-13-2014,"169.93 ","169.41 ","170.30 ","194.13 ","170.13 ","165.65 ","157.85 "
06-12-2014,"170.59 ","169.24 ","170.72 ","193.54 ","169.62 ","165.55 ","157.71 "
06-11-2014,"170.81 ","170.44 ","171.00 ","194.92 ","170.83 ","165.46 ","157.58 "
06-10-2014,"171.18 ","170.83 ","171.46 ","195.60 ","171.42 ","165.32 ","157.44 "
06-09-2014,"171.20 ","171.04 ","171.82 ","195.58 ","171.40 ","165.14 ","157.30 "
06-06-2014,"170.78 ","170.70 ","171.27 ","195.38 ","171.22 ","164.95 ","157.16 "
06-05-2014,"169.50 ","168.88 ","170.59 ","194.45 ","170.41 ","164.77 ","157.01 "
06-04-2014,"168.68 ","168.50 ","169.41 ","193.19 ","169.31 ","164.63 ","156.87 "
06-03-2014,"168.62 ","168.49 ","169.06 ","192.80 ","168.97 ","164.49 ","156.74 "
06-02-2014,"169.10 ","168.24 ","169.13 ","192.90 ","169.05 ","164.38 ","156.62 "
05-30-2014,"168.43 ","168.29 ","168.97 ","192.68 ","168.86 ","164.27 ","156.50 "
05-29-2014,"168.11 ","167.68 ","168.62 ","192.37 ","168.59 ","164.15 ","156.39 "
05-28-2014,"167.85 ","167.44 ","168.11 ","191.38 ","167.72 ","164.05 ","156.28 "
05-27-2014,"167.43 ","167.35 ","167.90 ","191.52 ","167.85 ","163.95 ","156.17 "
05-23-2014,"166.29 ","166.15 ","166.93 ","190.35 ","166.82 ","163.82 ","156.06 "
05-22-2014,"165.79 ","165.51 ","166.50 ","189.59 ","166.15 ","163.71 ","155.96 "
05-21-2014,"164.85 ","164.81 ","165.83 ","189.13 ","165.75 ","163.66 ","155.86 "
05-20-2014,"165.33 ","163.95 ","165.35 ","187.55 ","164.37 ","163.61 ","155.77 "
05-19-2014,"164.49 ","164.34 ","165.54 ","188.74 ","165.41 ","163.60 ","155.69 "
05-16-2014,"164.33 ","163.64 ","164.87 ","188.05 ","164.80 ","163.58 ","155.60 "
05-15-2014,"165.35 ","163.43 ","165.39 ","187.40 ","164.23 ","163.57 ","155.50 "
05-14-2014,"166.33 ","165.45 ","166.41 ","189.06 ","165.69 ","163.56 ","155.41 "
05-13-2014,"166.54 ","166.31 ","166.88 ","189.96 ","166.48 ","163.52 ","155.31 "
05-12-2014,"165.43 ","164.76 ","166.41 ","189.78 ","166.33 ","163.42 ","155.20 "
05-09-2014,"164.49 ","163.74 ","164.80 ","187.96 ","164.73 ","163.34 ","155.10 "
05-08-2014,"164.47 ","163.95 ","165.68 ","187.68 ","164.48 ","163.29 ","155.01 "
05-07-2014,"164.26 ","163.02 ","164.73 ","187.88 ","164.66 ","163.23 ","154.91 "
05-06-2014,"164.76 ","163.66 ","164.87 ","186.78 ","163.69 ","163.16 ","154.82 "
05-05-2014,"164.01 ","163.55 ","165.24 ","188.42 ","165.13 ","163.11 ","154.73 "
05-02-2014,"165.03 ","164.57 ","165.76 ","188.06 ","164.81 ","163.02 ","154.64 "
05-01-2014,"164.95 ","164.52 ","165.50 ","188.32 ","165.05 ","162.94 ","154.54 "
04-30-2014,"164.27 ","164.04 ","165.20 ","188.31 ","165.03 ","162.83 ","154.44 "
04-29-2014,"164.31 ","163.95 ","164.80 ","187.75 ","164.54 ","162.74 ","154.34 "
04-28-2014,"163.93 ","162.10 ","164.49 ","186.88 ","163.77 ","162.66 ","154.24 "
04-25-2014,"164.07 ","162.89 ","164.17 ","186.29 ","163.26 ","162.58 ","154.14 "
04-24-2014,"165.09 ","163.82 ","165.10 ","187.83 ","164.61 ","162.49 ","154.04 "
04-23-2014,"164.59 ","164.15 ","164.69 ","187.45 ","164.28 ","162.38 ","153.93 "
04-22-2014,"164.09 ","164.00 ","165.11 ","187.89 ","164.66 ","162.23 ","153.82 "
04-21-2014,"163.39 ","163.19 ","163.97 ","187.04 ","163.92 ","162.08 ","153.70 "
04-17-2014,"162.90 ","162.62 ","163.81 ","186.39 ","163.35 ","161.89 ","153.57 "
04-16-2014,"162.54 ","161.82 ","163.13 ","186.13 ","163.12 ","161.68 ","153.45 "
04-15-2014,"160.66 ","159.07 ","161.54 ","184.20 ","161.43 ","161.48 ","153.33 "
04-14-2014,"160.32 ","159.01 ","160.70 ","182.94 ","160.33 ","161.29 ","153.22 "
04-11-2014,"159.65 ","158.90 ","160.75 ","181.51 ","159.07 ","161.20 ","153.11 "
04-10-2014,"163.96 ","160.32 ","164.03 ","183.16 ","160.51 ","161.14 ","153.01 "
04-09-2014,"162.66 ","162.18 ","164.02 ","187.09 ","163.96 ","161.03 ","152.89 "
04-08-2014,"161.44 ","160.90 ","162.48 ","185.10 ","162.22 ","160.87 ","152.75 "
04-07-2014,"162.92 ","161.22 ","163.24 ","184.34 ","161.55 ","160.74 ","152.63 "
