Date,Close,Open,Low,High
21-Jun-2018,45.022,45.012,44.633,45.284
20-Jun-2018,45.003,44.839,44.491,45.159
19-Jun-2018,44.799,45.222,43.479,45.222
18-Jun-2018,45.560,45.908,45.480,45.980
15-Jun-2018,46.056,46.465,45.732,46.746
14-Jun-2018,46.660,47.208,46.600,47.319
13-Jun-2018,47.462,47.690,47.377,47.895
12-Jun-2018,47.988,47.540,47.471,48.154
11-Jun-2018,47.374,48.114,47.358,48.127
08-Jun-2018,47.949,47.945,47.525,48.099
07-Jun-2018,47.828,48.377,47.736,48.614
06-Jun-2018,48.241,48.509,48.215,48.811
05-Jun-2018,48.284,48.342,48.222,48.557
04-Jun-2018,48.245,49.157,48.220,49.258
01-Jun-2018,49.430,49.735,49.247,49.839
31-May-2018,49.646,49.452,49.348,49.943
30-May-2018,49.491,49.661,49.256,49.824
29-May-2018,49.963,50.624,49.779,50.778
25-May-2018,50.248,49.868,49.856,50.268
24-May-2018,49.856,50.112,49.833,50.588
23-May-2018,50.011,49.688,49.429,50.027
22-May-2018,49.578,49.148,49.097,49.875
21-May-2018,49.246,49.291,48.942,49.430
18-May-2018,48.791,48.313,48.294,48.844
17-May-2018,48.122,48.221,48.081,48.605
16-May-2018,48.171,48.443,48.078,48.544
15-May-2018,48.494,48.590,48.065,48.606
14-May-2018,48.321,48.240,48.098,48.487
11-May-2018,48.253,48.665,48.164,48.744
10-May-2018,48.814,48.921,48.574,49.180
09-May-2018,48.852,49.078,48.689,49.091
08-May-2018,49.056,48.832,48.727,49.248
07-May-2018,48.815,49.529,48.794,49.707
04-May-2018,49.757,50.134,49.677,50.227
03-May-2018,50.282,49.757,49.677,50.299
02-May-2018,49.926,50.019,49.761,50.227
01-May-2018,50.088,49.362,49.178,50.101
30-Apr-2018,49.438,49.568,49.304,49.743
27-Apr-2018,49.237,48.691,48.381,49.260
26-Apr-2018,48.564,48.670,48.300,48.735
25-Apr-2018,48.539,48.289,48.080,48.624
24-Apr-2018,48.135,47.889,47.695,48.176
23-Apr-2018,47.932,48.371,47.892,48.413
20-Apr-2018,48.199,48.467,48.181,48.534
19-Apr-2018,48.579,48.705,48.382,48.762
18-Apr-2018,48.650,48.462,48.431,48.773
17-Apr-2018,48.458,48.589,48.273,48.731
16-Apr-2018,48.534,49.025,48.513,49.168
13-Apr-2018,49.159,49.489,49.062,49.550
12-Apr-2018,49.462,49.275,49.101,49.487
11-Apr-2018,49.370,49.616,49.351,49.695
10-Apr-2018,49.612,49.751,49.427,49.853
09-Apr-2018,49.750,49.521,49.385,49.870
